user_id	user_first_touch_timestamp	email
UA000000105617062	1593283916427649	""
UA000000105617069	1593283917227973	""
UA000000105617076	1593283918707267	""
UA000000105617102	1593283922641868	""
UA000000105617105	1593283922904166	""
UA000000105617108	1593283923432704	""
UA000000105617117	1593283924870925	""
UA000000105617124	1593283926552183	""
UA000000105617128	1593283927152633	""
UA000000105617136	1593283928354608	""
UA000000105617138	1593283928873390	""
UA000000105617140	1593283929140893	""
UA000000105617145	1593283929574200	linrichard@lee.com
UA000000105617150	1593283930186223	""
UA000000105617155	1593283930680743	""
UA000000105617159	1593283931077384	""
UA000000105617160	1593283931122700	warrenjones@hotmail.com
UA000000105617172	1593283933422889	""
UA000000105617175	1593283933747054	""
UA000000105617183	1593283934825709	""
UA000000105617194	1593283936179772	veronicawilliams@gmail.com
UA000000105617198	1593283937146580	""
UA000000105617203	1593283938169952	""
UA000000105617206	1593283938418548	danny98@stephenson.com
UA000000105617211	1593283939274922	""
UA000000105617229	1593283940835653	""
UA000000105617245	1593283942903504	""
UA000000105617248	1593283943663333	owensjeremiah@yahoo.com
UA000000105617265	1593283946103144	""
UA000000105617267	1593283946601753	""
UA000000105617278	1593283947959644	""
UA000000105617293	1593283949700311	""
UA000000105617298	1593283950033232	""
UA000000105617323	1593283954126693	""
UA000000105617328	1593283954860788	""
UA000000105617335	1593283955338178	toddshawn@yahoo.com
UA000000105617340	1593283956035479	brittany53@brooks-fischer.org
UA000000105617348	1593283956744420	""
UA000000105617357	1593283958375116	""
UA000000105617358	1593283958412975	""
UA000000105617365	1593283958685565	""
UA000000105617373	1593283960297869	""
UA000000105617382	1593283961158733	""
UA000000105617390	1593283962338448	""
UA000000105617392	1593283962677591	""
UA000000105617399	1593283963831373	""
UA000000105617402	1593283964000062	""
UA000000105617406	1593283964301011	""
UA000000105617417	1593283965432559	megan27@griffin-chen.com
UA000000105617421	1593283966016830	""
UA000000105617428	1593283967363123	kimberlycalderon@kent.biz
UA000000105617454	1593283971144408	""
UA000000105617458	1593283971743081	""
UA000000105617495	1593283977924257	""
UA000000105617500	1593283979010351	qmoore@vasquez.com
UA000000105617501	1593283979231710	""
UA000000105617511	1593283980129863	comptonpedro@cook.biz
UA000000105617514	1593283980713065	""
UA000000105617528	1593283982422307	""
UA000000105617536	1593283983310367	""
UA000000105617537	1593283983860694	owenjessica@jackson-hurley.net
UA000000105617568	1593283987581575	""
UA000000105617583	1593283989131308	""
UA000000105617601	1593283991345483	""
UA000000105617620	1593283994008932	""
UA000000105617627	1593283994757066	""
UA000000105617635	1593283996110084	""
UA000000105617639	1593283996973285	""
UA000000105617642	1593283997344211	""
UA000000105617649	1593283998623988	""
UA000000105617661	1593284000171404	""
UA000000105617675	1593284002129237	""
UA000000105617676	1593284002206127	""
UA000000105617682	1593284003010013	""
UA000000105617690	1593284004086544	""
UA000000105617712	1593284007520087	allison88@berry.com
UA000000105617718	1593284008748637	""
UA000000105617719	1593284008787180	""
UA000000105617725	1593284009985546	""
UA000000105617730	1593284010694353	jeremiah79@phillips.biz
